Id,Expected
0,neutral
1,disgust
2,surprise
3,neutral
4,fear
5,neutral
6,neutral
7,neutral
8,joy
9,non-neutral
10,non-neutral
11,neutral
12,joy
13,joy
14,surprise
15,surprise
16,sadness
17,surprise
18,non-neutral
19,non-neutral
20,neutral
21,neutral
22,surprise
23,neutral
24,joy
25,neutral
26,neutral
27,joy
28,neutral
29,neutral
30,neutral
31,neutral
32,neutral
33,neutral
34,neutral
35,neutral
36,neutral
37,joy
38,surprise
39,neutral
40,neutral
41,joy
42,surprise
43,neutral
44,neutral
45,surprise
46,neutral
47,non-neutral
48,neutral
49,neutral
50,neutral
51,non-neutral
52,neutral
53,neutral
54,neutral
55,neutral
56,surprise
57,neutral
58,neutral
59,neutral
60,joy
61,surprise
62,surprise
63,neutral
64,neutral
65,fear
66,disgust
67,surprise
68,neutral
69,surprise
70,non-neutral
71,neutral
72,sadness
73,neutral
74,neutral
75,anger
76,surprise
77,anger
78,neutral
79,sadness
80,neutral
81,surprise
82,joy
83,neutral
84,neutral
85,non-neutral
86,joy
87,joy
88,surprise
89,neutral
90,neutral
91,neutral
92,neutral
93,neutral
94,neutral
95,sadness
96,neutral
97,joy
98,neutral
99,fear
100,neutral
101,neutral
102,non-neutral
103,disgust
104,disgust
105,neutral
106,neutral
107,non-neutral
108,neutral
109,neutral
110,non-neutral
111,anger
112,neutral
113,surprise
114,surprise
115,neutral
116,surprise
117,neutral
118,neutral
119,joy
120,surprise
121,neutral
122,surprise
123,joy
124,joy
125,neutral
126,non-neutral
127,joy
128,neutral
129,neutral
130,neutral
131,surprise
132,non-neutral
133,surprise
134,non-neutral
135,joy
136,neutral
137,non-neutral
138,neutral
139,non-neutral
140,non-neutral
141,neutral
142,joy
143,anger
144,neutral
145,neutral
146,surprise
147,non-neutral
148,surprise
149,surprise
150,joy
151,disgust
152,anger
153,neutral
154,surprise
155,neutral
156,neutral
157,surprise
158,neutral
159,non-neutral
160,anger
161,surprise
162,neutral
163,neutral
164,joy
165,neutral
166,non-neutral
167,neutral
168,neutral
169,fear
170,surprise
171,neutral
172,neutral
173,neutral
174,surprise
175,neutral
176,non-neutral
177,fear
178,neutral
179,non-neutral
180,surprise
181,neutral
182,neutral
183,neutral
184,neutral
185,surprise
186,neutral
187,surprise
188,sadness
189,surprise
190,sadness
191,joy
192,neutral
193,joy
194,neutral
195,neutral
196,neutral
197,neutral
198,neutral
199,joy
200,joy
201,joy
202,joy
203,neutral
204,non-neutral
205,non-neutral
206,joy
207,non-neutral
208,anger
209,neutral
210,non-neutral
211,neutral
212,non-neutral
213,neutral
214,surprise
215,neutral
216,neutral
217,neutral
218,neutral
219,neutral
220,non-neutral
221,neutral
222,neutral
223,neutral
224,neutral
225,anger
226,sadness
227,non-neutral
228,neutral
229,neutral
230,sadness
231,neutral
232,neutral
233,neutral
234,neutral
235,surprise
236,sadness
237,disgust
238,fear
239,anger
240,neutral
241,neutral
242,non-neutral
243,non-neutral
244,non-neutral
245,neutral
246,surprise
247,neutral
248,neutral
249,joy
250,surprise
251,joy
252,joy
253,surprise
254,surprise
255,non-neutral
256,joy
257,neutral
258,joy
259,neutral
260,neutral
261,neutral
262,disgust
263,neutral
264,neutral
265,joy
266,non-neutral
267,neutral
268,surprise
269,neutral
270,neutral
271,neutral
272,joy
273,non-neutral
274,joy
275,neutral
276,non-neutral
277,neutral
278,neutral
279,surprise
280,neutral
281,neutral
282,neutral
283,neutral
284,neutral
285,neutral
286,disgust
287,joy
288,joy
289,neutral
290,neutral
291,non-neutral
292,neutral
293,neutral
294,neutral
295,joy
296,neutral
297,sadness
298,joy
299,neutral
300,surprise
301,sadness
302,neutral
303,joy
304,joy
305,sadness
306,surprise
307,neutral
308,joy
309,neutral
310,neutral
311,joy
312,neutral
313,anger
314,neutral
315,neutral
316,neutral
317,sadness
318,neutral
319,neutral
320,neutral
321,surprise
322,surprise
323,non-neutral
324,non-neutral
325,non-neutral
326,non-neutral
327,non-neutral
328,joy
329,neutral
330,neutral
331,surprise
332,non-neutral
333,disgust
334,non-neutral
335,disgust
336,neutral
337,neutral
338,neutral
339,non-neutral
340,neutral
341,neutral
342,neutral
343,surprise
344,joy
345,non-neutral
346,joy
347,neutral
348,non-neutral
349,neutral
350,non-neutral
351,surprise
352,non-neutral
353,surprise
354,surprise
355,joy
356,neutral
357,neutral
358,neutral
359,neutral
360,neutral
361,surprise
362,joy
363,joy
364,joy
365,non-neutral
366,neutral
367,neutral
368,neutral
369,fear
370,neutral
371,neutral
372,neutral
373,neutral
374,neutral
375,non-neutral
376,neutral
377,neutral
378,joy
379,joy
380,joy
381,neutral
382,neutral
383,joy
384,joy
385,non-neutral
386,surprise
387,neutral
388,neutral
389,neutral
390,surprise
391,neutral
392,surprise
393,neutral
394,neutral
395,neutral
396,neutral
397,sadness
398,neutral
399,neutral
400,non-neutral
401,joy
402,anger
403,disgust
404,neutral
405,non-neutral
406,non-neutral
407,neutral
408,neutral
409,neutral
410,neutral
411,neutral
412,neutral
413,neutral
414,neutral
415,non-neutral
416,sadness
417,sadness
418,sadness
419,non-neutral
420,neutral
421,neutral
422,anger
423,surprise
424,non-neutral
425,neutral
426,surprise
427,non-neutral
428,joy
429,neutral
430,non-neutral
431,neutral
432,neutral
433,neutral
434,neutral
435,neutral
436,neutral
437,neutral
438,neutral
439,neutral
440,neutral
441,neutral
442,neutral
443,neutral
444,joy
445,neutral
446,non-neutral
447,neutral
448,neutral
449,sadness
450,neutral
451,non-neutral
452,neutral
453,neutral
454,fear
455,neutral
456,anger
457,anger
458,non-neutral
459,neutral
460,joy
461,non-neutral
462,neutral
463,neutral
464,neutral
465,neutral
466,fear
467,non-neutral
468,neutral
469,non-neutral
470,neutral
471,neutral
472,surprise
473,anger
474,neutral
475,non-neutral
476,non-neutral
477,joy
478,anger
479,neutral
480,sadness
481,anger
482,neutral
483,neutral
484,joy
485,neutral
486,neutral
487,neutral
488,non-neutral
489,surprise
490,neutral
491,neutral
492,surprise
493,neutral
494,surprise
495,surprise
496,joy
497,neutral
498,surprise
499,neutral
500,sadness
501,non-neutral
502,neutral
503,surprise
504,surprise
505,surprise
506,neutral
507,neutral
508,joy
509,neutral
510,anger
511,sadness
512,neutral
513,joy
514,non-neutral
515,surprise
516,neutral
517,non-neutral
518,surprise
519,neutral
520,non-neutral
521,surprise
522,neutral
523,neutral
524,neutral
525,neutral
526,neutral
527,neutral
528,neutral
529,neutral
530,neutral
531,non-neutral
532,joy
533,non-neutral
534,surprise
535,anger
536,anger
537,non-neutral
538,neutral
539,non-neutral
540,non-neutral
541,neutral
542,surprise
543,neutral
544,neutral
545,neutral
546,surprise
547,joy
548,non-neutral
549,neutral
550,surprise
551,neutral
552,sadness
553,neutral
554,neutral
555,disgust
556,surprise
557,neutral
558,neutral
559,surprise
560,neutral
561,neutral
562,surprise
563,neutral
564,joy
565,neutral
566,joy
567,surprise
568,neutral
569,joy
570,surprise
571,neutral
572,surprise
573,joy
574,surprise
575,neutral
576,surprise
577,neutral
578,neutral
579,surprise
580,neutral
581,neutral
582,joy
583,joy
584,surprise
585,joy
586,surprise
587,neutral
588,neutral
589,neutral
590,surprise
591,disgust
592,anger
593,surprise
594,non-neutral
595,anger
596,surprise
597,neutral
598,anger
599,disgust
600,neutral
601,neutral
602,neutral
603,joy
604,joy
605,surprise
606,surprise
607,neutral
608,non-neutral
609,neutral
610,neutral
611,fear
612,non-neutral
613,neutral
614,disgust
615,non-neutral
616,non-neutral
617,neutral
618,non-neutral
619,non-neutral
620,neutral
621,non-neutral
622,surprise
623,neutral
624,anger
625,non-neutral
626,joy
627,joy
628,joy
629,joy
630,fear
631,neutral
632,neutral
633,anger
634,non-neutral
635,neutral
636,surprise
637,surprise
638,neutral
639,neutral
640,sadness
641,neutral
642,non-neutral
643,neutral
644,non-neutral
645,joy
646,surprise
647,joy
648,surprise
649,sadness
650,neutral
651,joy
652,non-neutral
653,neutral
654,joy
655,joy
656,neutral
657,neutral
658,neutral
659,neutral
660,surprise
661,neutral
662,neutral
663,neutral
664,neutral
665,sadness
666,neutral
667,neutral
668,non-neutral
669,surprise
670,surprise
671,non-neutral
672,neutral
673,neutral
674,surprise
675,sadness
676,fear
677,neutral
678,neutral
679,neutral
680,surprise
681,sadness
682,neutral
683,surprise
684,neutral
685,surprise
686,neutral
687,neutral
688,neutral
689,joy
690,neutral
691,surprise
692,non-neutral
693,non-neutral
694,neutral
695,neutral
696,neutral
697,surprise
698,surprise
699,surprise
700,neutral
701,neutral
702,joy
703,joy
704,joy
705,anger
706,non-neutral
707,anger
708,joy
709,sadness
710,neutral
711,non-neutral
712,joy
713,neutral
714,neutral
715,neutral
716,neutral
717,neutral
718,joy
719,joy
720,neutral
721,non-neutral
722,surprise
723,joy
724,surprise
725,surprise
726,surprise
727,disgust
728,non-neutral
729,surprise
730,neutral
731,neutral
732,disgust
733,non-neutral
734,non-neutral
735,neutral
736,non-neutral
737,non-neutral
738,joy
739,surprise
740,surprise
741,neutral
742,neutral
743,joy
744,joy
745,sadness
746,sadness
747,non-neutral
748,surprise
749,joy
750,surprise
751,neutral
752,non-neutral
753,neutral
754,neutral
755,neutral
756,neutral
757,neutral
758,neutral
759,anger
760,neutral
761,neutral
762,neutral
763,non-neutral
764,neutral
765,neutral
766,fear
767,anger
768,neutral
769,joy
770,neutral
771,neutral
772,neutral
773,neutral
774,neutral
775,anger
776,joy
777,anger
778,anger
779,non-neutral
780,anger
781,neutral
782,non-neutral
783,neutral
784,neutral
785,neutral
786,non-neutral
787,surprise
788,neutral
789,neutral
790,neutral
791,neutral
792,neutral
793,surprise
794,anger
795,neutral
796,neutral
797,joy
798,surprise
799,neutral
800,disgust
801,neutral
802,sadness
803,anger
804,neutral
805,neutral
806,neutral
807,non-neutral
808,neutral
809,neutral
810,sadness
811,neutral
812,neutral
813,neutral
814,non-neutral
815,anger
816,surprise
817,non-neutral
818,non-neutral
819,non-neutral
820,non-neutral
821,non-neutral
822,joy
823,neutral
824,joy
825,neutral
826,joy
827,joy
828,joy
829,neutral
830,joy
831,neutral
832,neutral
833,neutral
834,neutral
835,neutral
836,sadness
837,sadness
838,joy
839,neutral
840,neutral
841,neutral
842,sadness
843,neutral
844,neutral
845,neutral
846,neutral
847,joy
848,neutral
849,neutral
850,neutral
851,neutral
852,neutral
853,neutral
854,neutral
855,anger
856,neutral
857,surprise
858,neutral
859,non-neutral
860,neutral
861,fear
862,disgust
863,surprise
864,non-neutral
865,neutral
866,neutral
867,neutral
868,neutral
869,joy
870,surprise
871,surprise
872,neutral
873,neutral
874,non-neutral
875,surprise
876,neutral
877,surprise
878,surprise
879,neutral
880,anger
881,joy
882,neutral
883,surprise
884,neutral
885,joy
886,neutral
887,neutral
888,anger
889,neutral
890,non-neutral
891,non-neutral
892,joy
893,neutral
894,neutral
895,surprise
896,neutral
897,neutral
898,neutral
899,neutral
900,surprise
901,neutral
902,neutral
903,joy
904,neutral
905,surprise
906,neutral
907,neutral
908,neutral
909,neutral
910,neutral
911,fear
912,non-neutral
913,neutral
914,neutral
915,neutral
916,joy
917,surprise
918,surprise
919,neutral
920,neutral
921,neutral
922,neutral
923,non-neutral
924,neutral
925,neutral
926,neutral
927,non-neutral
928,neutral
929,surprise
930,joy
931,joy
932,joy
933,neutral
934,joy
935,surprise
936,neutral
937,surprise
938,neutral
939,anger
940,neutral
941,neutral
942,neutral
943,neutral
944,surprise
945,neutral
946,neutral
947,neutral
948,neutral
949,neutral
950,neutral
951,neutral
952,surprise
953,surprise
954,non-neutral
955,neutral
956,non-neutral
957,surprise
958,surprise
959,neutral
960,joy
961,neutral
962,surprise
963,surprise
964,neutral
965,neutral
966,surprise
967,surprise
968,neutral
969,joy
970,joy
971,neutral
972,sadness
973,neutral
974,neutral
975,anger
976,neutral
977,surprise
978,neutral
979,neutral
980,neutral
981,non-neutral
982,non-neutral
983,neutral
984,neutral
985,surprise
986,surprise
987,joy
988,surprise
989,joy
990,joy
991,neutral
992,sadness
993,non-neutral
994,neutral
995,neutral
996,anger
997,surprise
998,neutral
999,surprise
1000,anger
1001,anger
1002,surprise
1003,fear
1004,joy
1005,neutral
1006,neutral
1007,neutral
1008,surprise
1009,non-neutral
1010,neutral
1011,neutral
1012,surprise
1013,surprise
1014,non-neutral
1015,neutral
1016,non-neutral
1017,surprise
1018,neutral
1019,anger
1020,neutral
1021,neutral
1022,neutral
1023,sadness
1024,neutral
1025,neutral
1026,surprise
1027,neutral
1028,non-neutral
1029,surprise
1030,joy
1031,neutral
1032,non-neutral
1033,non-neutral
1034,neutral
1035,neutral
1036,joy
1037,neutral
1038,joy
1039,non-neutral
1040,neutral
1041,neutral
1042,neutral
1043,joy
1044,neutral
1045,surprise
1046,surprise
1047,non-neutral
1048,non-neutral
1049,neutral
1050,neutral
1051,non-neutral
1052,neutral
1053,neutral
1054,neutral
1055,non-neutral
1056,neutral
1057,non-neutral
1058,neutral
1059,neutral
1060,neutral
1061,neutral
1062,surprise
1063,neutral
1064,neutral
1065,non-neutral
1066,joy
1067,surprise
1068,joy
1069,joy
1070,surprise
1071,surprise
1072,surprise
1073,surprise
1074,disgust
1075,disgust
1076,surprise
1077,neutral
1078,neutral
1079,neutral
1080,disgust
1081,neutral
1082,neutral
1083,non-neutral
1084,neutral
1085,neutral
1086,neutral
1087,anger
1088,joy
1089,anger
1090,sadness
1091,neutral
1092,joy
1093,neutral
1094,non-neutral
1095,neutral
1096,neutral
1097,neutral
1098,non-neutral
1099,neutral
1100,sadness
1101,non-neutral
1102,neutral
1103,neutral
1104,sadness
1105,neutral
1106,neutral
1107,neutral
1108,neutral
1109,neutral
1110,joy
1111,sadness
1112,surprise
1113,neutral
1114,surprise
1115,neutral
1116,neutral
1117,sadness
1118,joy
1119,neutral
1120,neutral
1121,non-neutral
1122,neutral
1123,disgust
1124,neutral
1125,neutral
1126,neutral
1127,joy
1128,neutral
1129,neutral
1130,neutral
1131,neutral
1132,neutral
1133,neutral
1134,neutral
1135,non-neutral
1136,non-neutral
1137,joy
1138,non-neutral
1139,joy
1140,neutral
1141,joy
1142,joy
1143,non-neutral
1144,neutral
1145,neutral
1146,neutral
1147,joy
1148,neutral
1149,surprise
1150,surprise
1151,neutral
1152,surprise
1153,surprise
1154,neutral
1155,non-neutral
1156,sadness
1157,anger
1158,neutral
1159,non-neutral
1160,neutral
1161,non-neutral
1162,anger
1163,non-neutral
1164,non-neutral
1165,neutral
1166,sadness
1167,neutral
1168,neutral
1169,neutral
1170,neutral
1171,neutral
1172,neutral
1173,neutral
1174,neutral
1175,neutral
1176,non-neutral
1177,neutral
1178,joy
1179,surprise
1180,anger
1181,surprise
1182,neutral
1183,surprise
1184,neutral
1185,neutral
1186,surprise
1187,neutral
1188,neutral
1189,surprise
1190,joy
1191,anger
1192,neutral
1193,surprise
1194,joy
1195,neutral
1196,neutral
1197,neutral
1198,neutral
1199,non-neutral
1200,sadness
1201,neutral
1202,joy
1203,neutral
1204,neutral
1205,joy
1206,sadness
1207,neutral
1208,non-neutral
1209,joy
1210,neutral
1211,disgust
1212,neutral
1213,joy
1214,neutral
1215,neutral
1216,neutral
1217,neutral
1218,non-neutral
1219,neutral
1220,neutral
1221,neutral
1222,non-neutral
1223,non-neutral
1224,non-neutral
1225,neutral
1226,neutral
1227,non-neutral
1228,joy
1229,neutral
1230,non-neutral
1231,neutral
1232,surprise
1233,anger
1234,neutral
1235,non-neutral
1236,sadness
1237,non-neutral
1238,neutral
1239,neutral
1240,joy
1241,neutral
1242,neutral
1243,non-neutral
1244,anger
1245,neutral
1246,surprise
1247,neutral
1248,surprise
1249,non-neutral
1250,neutral
1251,neutral
1252,non-neutral
1253,sadness
1254,neutral
1255,neutral
1256,surprise
1257,non-neutral
1258,neutral
1259,joy
1260,neutral
1261,sadness
1262,non-neutral
1263,joy
1264,neutral
1265,surprise
1266,neutral
1267,non-neutral
1268,neutral
1269,surprise
1270,neutral
1271,neutral
1272,non-neutral
1273,joy
1274,neutral
1275,neutral
1276,neutral
1277,neutral
1278,neutral
1279,surprise
1280,neutral
1281,non-neutral
1282,neutral
1283,surprise
1284,neutral
1285,non-neutral
1286,neutral
1287,neutral
1288,neutral
1289,neutral
1290,neutral
1291,non-neutral
1292,surprise
1293,neutral
1294,surprise
1295,surprise
1296,neutral
1297,disgust
1298,neutral
1299,neutral
1300,joy
1301,neutral
1302,neutral
1303,joy
1304,neutral
1305,neutral
1306,neutral
1307,neutral
1308,neutral
1309,disgust
1310,surprise
1311,neutral
1312,neutral
1313,joy
1314,neutral
1315,neutral
1316,neutral
1317,neutral
1318,neutral
1319,neutral
1320,neutral
1321,neutral
1322,neutral
1323,neutral
1324,neutral
1325,neutral
1326,non-neutral
1327,neutral
1328,neutral
1329,neutral
1330,anger
1331,neutral
1332,neutral
1333,neutral
1334,disgust
1335,surprise
1336,surprise
1337,anger
1338,neutral
1339,neutral
1340,neutral
1341,neutral
1342,neutral
1343,anger
1344,sadness
1345,non-neutral
1346,surprise
1347,non-neutral
1348,neutral
1349,neutral
1350,neutral
1351,surprise
1352,neutral
1353,neutral
1354,disgust
1355,neutral
1356,neutral
1357,neutral
1358,neutral
1359,neutral
1360,neutral
1361,surprise
1362,neutral
1363,neutral
1364,neutral
1365,neutral
1366,neutral
1367,surprise
1368,joy
1369,non-neutral
1370,non-neutral
1371,joy
1372,neutral
1373,neutral
1374,neutral
1375,neutral
1376,surprise
1377,neutral
1378,joy
1379,neutral
1380,neutral
1381,neutral
1382,sadness
1383,neutral
1384,neutral
1385,non-neutral
1386,neutral
1387,surprise
1388,non-neutral
1389,neutral
1390,anger
1391,anger
1392,neutral
1393,non-neutral
1394,neutral
1395,joy
1396,neutral
1397,non-neutral
1398,non-neutral
1399,neutral
1400,neutral
1401,neutral
1402,surprise
1403,neutral
1404,surprise
1405,joy
1406,joy
1407,joy
1408,sadness
1409,surprise
1410,anger
1411,anger
1412,joy
1413,surprise
1414,surprise
1415,neutral
1416,neutral
1417,neutral
1418,neutral
1419,surprise
1420,fear
1421,surprise
1422,neutral
1423,non-neutral
1424,neutral
1425,neutral
1426,surprise
1427,neutral
1428,neutral
1429,joy
1430,neutral
1431,neutral
1432,neutral
1433,joy
1434,non-neutral
1435,neutral
1436,neutral
1437,surprise
1438,surprise
1439,joy
1440,joy
1441,neutral
1442,surprise
1443,neutral
1444,neutral
1445,sadness
1446,neutral
1447,neutral
1448,surprise
1449,neutral
1450,neutral
1451,neutral
1452,neutral
1453,neutral
1454,neutral
1455,surprise
1456,neutral
1457,non-neutral
1458,neutral
1459,neutral
1460,fear
1461,neutral
1462,non-neutral
1463,non-neutral
1464,fear
1465,neutral
1466,sadness
1467,surprise
1468,non-neutral
1469,non-neutral
1470,neutral
1471,neutral
1472,neutral
1473,joy
1474,neutral
1475,neutral
1476,neutral
1477,neutral
1478,neutral
1479,neutral
1480,neutral
1481,neutral
1482,neutral
1483,neutral
1484,anger
1485,neutral
1486,neutral
1487,neutral
1488,neutral
1489,neutral
1490,non-neutral
1491,neutral
1492,neutral
1493,neutral
1494,neutral
1495,neutral
1496,surprise
1497,neutral
1498,joy
1499,joy
1500,non-neutral
1501,surprise
1502,non-neutral
1503,neutral
1504,joy
1505,neutral
1506,neutral
1507,disgust
1508,surprise
1509,neutral
1510,surprise
1511,anger
1512,neutral
1513,neutral
1514,neutral
1515,neutral
1516,neutral
1517,neutral
1518,neutral
1519,neutral
1520,neutral
1521,neutral
1522,neutral
1523,sadness
1524,neutral
1525,neutral
1526,neutral
1527,joy
1528,neutral
1529,surprise
1530,neutral
1531,fear
1532,joy
1533,neutral
1534,non-neutral
1535,non-neutral
1536,neutral
1537,joy
1538,joy
1539,neutral
1540,neutral
1541,joy
1542,neutral
1543,neutral
1544,neutral
1545,surprise
1546,neutral
1547,neutral
1548,neutral
1549,neutral
1550,sadness
1551,non-neutral
1552,non-neutral
1553,neutral
1554,neutral
1555,surprise
1556,surprise
1557,anger
1558,anger
1559,non-neutral
1560,neutral
1561,non-neutral
1562,neutral
1563,surprise
1564,neutral
1565,neutral
1566,neutral
1567,neutral
1568,joy
1569,disgust
1570,joy
1571,surprise
1572,neutral
1573,neutral
1574,non-neutral
1575,surprise
1576,neutral
1577,neutral
1578,neutral
1579,neutral
1580,non-neutral
1581,neutral
1582,non-neutral
1583,surprise
1584,joy
1585,neutral
1586,joy
1587,joy
1588,sadness
1589,non-neutral
1590,joy
1591,joy
1592,neutral
1593,surprise
1594,neutral
1595,non-neutral
1596,neutral
1597,neutral
1598,non-neutral
1599,neutral
1600,neutral
1601,anger
1602,neutral
1603,neutral
1604,joy
1605,joy
1606,surprise
1607,joy
1608,neutral
1609,surprise
1610,surprise
1611,surprise
1612,anger
1613,neutral
1614,non-neutral
1615,non-neutral
1616,sadness
1617,neutral
1618,non-neutral
1619,neutral
1620,neutral
1621,neutral
1622,non-neutral
1623,non-neutral
1624,neutral
1625,neutral
1626,fear
1627,neutral
1628,neutral
1629,neutral
1630,neutral
1631,neutral
1632,surprise
1633,joy
1634,neutral
1635,non-neutral
1636,joy
1637,joy
1638,neutral
1639,neutral
1640,neutral
1641,fear
1642,neutral
1643,non-neutral
1644,neutral
1645,non-neutral
1646,neutral
1647,non-neutral
1648,neutral
1649,non-neutral
1650,non-neutral
1651,neutral
1652,sadness
1653,sadness
1654,neutral
1655,neutral
1656,non-neutral
1657,joy
1658,neutral
1659,neutral
1660,neutral
1661,neutral
1662,joy
1663,non-neutral
1664,non-neutral
1665,non-neutral
1666,neutral
1667,surprise
1668,neutral
1669,anger
1670,neutral
1671,sadness
1672,neutral
1673,surprise
1674,non-neutral
1675,neutral
1676,non-neutral
1677,anger
1678,joy
1679,surprise
1680,non-neutral
1681,neutral
1682,neutral
1683,non-neutral
1684,neutral
1685,neutral
1686,joy
1687,non-neutral
1688,neutral
1689,surprise
1690,neutral
1691,neutral
1692,neutral
1693,neutral
